entry_id,contest_id,contest_name,P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"2487716084","59175-246503153","$5K Thu MLB Wiffle Ball (150 Entries Max)","59175-17087","59175-17139","59175-21705","59175-102370","59175-82654","59175-12948","59175-73023","59175-13909","59175-119404","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"","","","","","","","","","","","","","4) You can not use this form to create new entries"
"","","","","","","","","","","","",""
"","","","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","","","","",59175-16959:Trevor Bauer,59175-16959,P,Trevor,Trevor Bauer,Bauer,45.888888888888886,9,11300,ARI@LAD,LAD,ARI,,,,,,P
"","","","","","","","","","","","","",59175-16960:Zack Wheeler,59175-16960,P,Zack,Zack Wheeler,Wheeler,41.22222222222222,9,10400,MIA@PHI,PHI,MIA,,,,,,P
"","","","","","","","","","","","","",59175-60647:Aaron Nola,59175-60647,P,Aaron,Aaron Nola,Nola,35.333333333333336,9,10200,MIA@PHI,PHI,MIA,,,,,,P
"","","","","","","","","","","","","",59175-5427:Clayton Kershaw,59175-5427,P,Clayton,Clayton Kershaw,Kershaw,30.416666666666668,12,10200,ARI@LAD,LAD,ARI,,,,,,P
"","","","","","","","","","","","","",59175-52166:Julio Urias,59175-52166,P,Julio,Julio Urias,Urias,38.666666666666664,9,10000,ARI@LAD,LAD,ARI,,,,,,P
"","","","","","","","","","","","","",59175-79168:Walker Buehler,59175-79168,P,Walker,Walker Buehler,Buehler,37.625,8,9900,ARI@LAD,LAD,ARI,,,,,,P
"","","","","","","","","","","","","",59175-79951:Nick Pivetta,59175-79951,P,Nick,Nick Pivetta,Pivetta,31.375,8,9800,BOS@TOR,BOS,TOR,,,,Yes,,P
"","","","","","","","","","","","","",59175-82594:Dustin May,59175-82594,P,Dustin,Dustin May,May,33.4,5,9700,ARI@LAD,LAD,ARI,IL,Elbow,,,,P
"","","","","","","","","","","","","",59175-82607:Trevor Rogers,59175-82607,P,Trevor,Trevor Rogers,Rogers,41.77777777777778,9,9700,MIA@PHI,MIA,PHI,,,,,0,P
"","","","","","","","","","","","","",59175-12477:Chris Sale,59175-12477,P,Chris,Chris Sale,Sale,,,9500,BOS@TOR,BOS,TOR,IL,Elbow,,,,P
