entry_id,contest_id,contest_name,P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"2486728462","59101-246484090","$6K Wed MLB Wiffle Ball (150 Entries Max)","59101-5522","59101-79273","59101-21705","59101-73832","59101-82654","59101-73023","59101-54401","59101-52180","59101-84133","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"","","","","","","","","","","","","","4) You can not use this form to create new entries"
"","","","","","","","","","","","",""
"","","","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","","","","",59101-52859:Jacob deGrom,59101-52859,P,Jacob,Jacob deGrom,deGrom,57.333333333333336,6,12500,NYM@ATL,NYM,ATL,IL,Side,,,,P
"","","","","","","","","","","","","",59101-16956:Gerrit Cole,59101-16956,P,Gerrit,Gerrit Cole,Cole,49.666666666666664,9,12300,NYY@TEX,NYY,TEX,,,,,,P
"","","","","","","","","","","","","",59101-82554:Shane Bieber,59101-82554,P,Shane,Shane Bieber,Bieber,49.77777777777778,9,12200,CLE@LAA,CLE,LAA,,,,,,P
"","","","","","","","","","","","","",59101-5481:Max Scherzer,59101-5481,P,Max,Max Scherzer,Scherzer,45,8,11700,WSH@CHC,WSH,CHC,,,,Yes,,P
"","","","","","","","","","","","","",59101-52183:Tyler Glasnow,59101-52183,P,Tyler,Tyler Glasnow,Glasnow,47.77777777777778,9,11500,TB@BAL,TB,BAL,,,,,,P
"","","","","","","","","","","","","",59101-16959:Trevor Bauer,59101-16959,P,Trevor,Trevor Bauer,Bauer,45.888888888888886,9,11000,ARI@LAD,LAD,ARI,,,,,,P
"","","","","","","","","","","","","",59101-80582:Brandon Woodruff,59101-80582,P,Brandon,Brandon Woodruff,Woodruff,42.22222222222222,9,11000,MIL@KC,MIL,KC,,,,,,P
"","","","","","","","","","","","","",59101-79246:Jack Flaherty,59101-79246,P,Jack,Jack Flaherty,Flaherty,39.125,8,10800,PIT@STL,STL,PIT,,,,Yes,,P
"","","","","","","","","","","","","",59101-82604:Corbin Burnes,59101-82604,P,Corbin,Corbin Burnes,Burnes,47.833333333333336,6,10500,MIL@KC,MIL,KC,,,,Yes,,P
"","","","","","","","","","","","","",59101-16960:Zack Wheeler,59101-16960,P,Zack,Zack Wheeler,Wheeler,41.22222222222222,9,10400,MIA@PHI,PHI,MIA,,,,,,P
